1.1.6
1,1,0,stone
1:0,1,0,stone
stone,1,0,stone
stones,1,0,stone
stne,1,0,stone
2,2,0,grass
2:0,2,0,grass
grass,2,0,grass
grasss,2,0,grass
grss,2,0,grass
turf,2,0,grass
field,2,0,grass
3,3,0,dirt
3:0,3,0,dirt
dirt,3,0,dirt
drt,3,0,dirt
dirts,3,0,dirt
4,4,0,cobble stone
4:0,4,0,cobble stone
cobblestone,4,0,cobble stone
coblestone,4,0,cobble stone
cstone,4,0,cobble stone
cblstone,4,0,cobble stone
cobble,4,0,cobble stone
coble,4,0,cobble stone
5,5,0,plank
5:0,5,0,plank
wood,5,0,wood
woodenplank,5,0,plank
woodplank,5,0,plank
woodplanks,5,0,planks
woodenplanks,5,0,planks
wod,5,0,wood
plank,5,0,plank
plnk,5,0,plank
planks,5,0,planks
5:1,5,1,pine planks
pineplanks,5,1,pine planks
pneplanks,5,1,pine planks
pineplnks,5,1,pine planks
pneplnks,5,1,pine planks
5:2,5,2,birch planks
birchplanks,5,2,birch planks
brchplanks,5,2,birch planks
birchplnks,5,2,birch planks
brchplnks,5,2,birch planks
5:3,5,3,jungle planks
jungleplanks,5,3,jungle planks
jngleplanks,5,3,jungle planks
junglplanks,5,3,jungle planks
junglplnks,5,3,jungle planks
jungleplnks,5,3,jungle planks
6:0,6,0,sapling
6,6,0,sapling
sapling,6,0,sapling
saplin,6,0,sapling
saplings,6,0,sapling
spling,6,0,sapling
splin,6,0,sapling
6:1,6,1,spruce sapling
sprucesapling,6,1,spruce sapling
spsapling,6,1,spruce sapling
sprsapling,6,1,spruce sapling
sprcsapling,6,1,spruce sapling
sprcesapling,6,1,spruce sapling
sprucesaplings,6,1,spruce sapling
spsaplings,6,1,spruce sapling
sprsaplings,6,1,spruce sapling
sprcsaplings,6,1,spruce sapling
sprcesaplings,6,1,spruce sapling
6:2,6,2,birch sapling
birchsapling,6,2,birch sapling
bsapling,6,2,birch sapling
brchsapling,6,2,birch sapling
bircsapling,6,2,birch sapling
birchsaplings,6,2,birch sapling
bsaplings,6,2,birch sapling
brchsaplings,6,2,birch sapling
bircsaplings,6,2,birch sapling
6:3,6,3,jungle sapling
junglesapling,6,3,jungle sapling
jnglesapling,6,3,jungle sapling
junglsapling,6,3,jungle sapling
jnglsapling,6,3,jungle sapling
jnglsaplng,6,3,jungle sapling
jnglspling,6,3,jungle sapling
jnglsplng,6,3,jungle sapling
7,7,0,bedrock
7:0,7,0,bedrock
bedrock,7,0,bedrock
bdrock,7,0,bedrock
adminrock,7,0,bedrock
adminite,7,0,bedrock
admintite,7,0,bedrock
adminium,7,0,bedrock
8,8,0,water
8:0,8,0,water
water,8,0,water
wter,8,0,water
waer,8,0,water
watr,8,0,water
9,9,0,stationary water
9:0,9,0,stationary water
stationarywater,9,0,stationary water
stationwater,9,0,stationary water
stoppedwater,9,0,stationary water
10,10,0,lava
10:0,10,0,lava
lava,10,0,lava
lva,10,0,lava
lav,10,0,lava
11,11,0,stationary lava
11:0,11,0,stationary lava
stationarylava,11,0,stationary lava
stationlava,11,0,stationary lava
stoppedlava,11,0,stationarylava
12,12,0,sand
12:0,12,0,sand
sand,12,0,sand
snd,12,0,sand
san,12,0,sand
13,13,0,gravel
13:0,13,0,gravel
gravel,13,0,gravel
grvel,13,0,gravel
gravl,13,0,gravel
14,14,0,gold ore
14:0,14,0,gold ore
goldore,14,0,gold ore
gldore,14,0,gold ore
gore,14,0,gold ore
15,15,0,iron ore
15:0,15,0,iron ore
ironore,15,0,iron ore
irnore,15,0,iron ore
iore,15,0,iron ore
16,16,0,coal ore
16:0,16,0,coal ore
coalore,16,0,coal ore
core,16,0,coal ore
17,17,0,log
17:0,17,0,log
log,17,0,log
lg,17,0,log
logs,17,0,logs
lgs,17,0,logs
17:1,17,1,spruce log
sprucelog,17,1,spruce log
spruclog,17,1,spruce log
sprucelogs,17,1,spruce logs
spruclogs,17,1,spruce logs
slog,17,1,spruce log
slogs,17,1,spruce logs
17:2,17,2,birch log
birchlog,17,2,birch log
birchlogs,17,2,birch logs
brchlog,17,2,birch log
brchlogs,17,2,birch logs
blog,17,2,birch log
blogs,17,2,birch logs
junglelogs,17,3,jungle logs
jungllogs,17,3,jungle logs
junglogs,17,3,jungle logs
jlogs,17,3,jungle logs
jlog,17,3,jungle logs
18,18,0,leaves
18:0,18,0,leaves
leaves,18,0,leaves
leaf,18,0,leaves
leave,18,0,leaves
leafs,18,0,leaves
18:1,18,1,spruce leaves
spruceleaves,18,1,spruce leaves
spruceleave,18,1,spruce leaves
spruceleaf,18,1,spruce leaves
sprceleaves,18,1,spruce leaves
sprceleave,18,1,spruce leaves
sprceleaf,18,1,spruce leaves
sleaves,18,1,spruce leaves
sleaf,18,1,spruce leaves
18:2,18,2,birch leaves
birchleaves,18,2,birch leaves
birchleave,18,2,birch leaves
birchleaf,18,2,birch leaves
brcleaves,18,2,birch leaves
brcleave,18,2,birch leaves
brcleaf,18,2,birch leaves
bleaves,18,2,birch leaves
bleave,18,2,birch leaves
bleaf,18,2,birch leaves
18:3,18,3,jungle leaves
jungleleaves,18,3,jungle leaves
junglleaves,18,3,jungle leaves
jnglleaves,18,3,jungle leaves
jleaves,18,3,jungle leaves
19,19,0,sponge
19:0,19,0,sponge
sponge,19,0,sponge
spnge,19,0,sponge
spong,19,0,sponge
spng,19,0,sponge
20,20,0,glass
20:0,20,0,glass
glass,20,0,glass
glas,20,0,glass
glss,20,0,glass
21,21,0,lapis lazuli ore
21:0,21,0,lapis lazuli ore
lapisore,21,0,lapis lazuli ore
lores,21,0,lapis lazuli ore
lore,21,0,lapis lazuli ore
lapislazuliore,21,0,lapis lazuli ore
lapislazulore,21,0,lapis lazuli ore
lapisores,21,0,lapis lazuli ore
lapislazuliores,21,0,lapis lazuli ore
lapislazulores,21,0,lapis lazuli ore
22,22,0,lapis lazuli block
22:0,22,0,lapis lazuli block
